stationReference,value,highestRecentLevel
2513,0.40460416666666665,2.098
2514,0.8661145833333334,2.344
2515,0.16492708333333334,2.048
2516,0.5807395833333333,1.76
2546TH,1.2805833333333332,
2550TH,0.2881875,0.508
2569TH,0.16269791666666666,0.299
2590TH,0.22249367088607594,0.353
2601TH,0.07736458333333333,1.364
2602TH,0.17037500000000003,0.471
2603,0.19318749999999998,1.195
2603TH,1.5935416666666666,1.806
2604TH,2.3306145833333334,3.74
2606,1.2917395833333334,5.898
2607,0.10767708333333333,
2607TH,0.20781249999999998,1.017
2608,0.19828125,
2609,0.19061458333333334,2.407
2611,0.8441458333333333,
2613,0.17908333333333334,2.203
2613TH,1.8605520833333333,
2615,1.3886354166666666,3.801
2616,0.9808229166666668,7.142
2617,0.08145833333333334,0.76
2618,0.9596770833333333,4.836
2619,0.9624791666666667,4.867
2620TH,0.18761458333333333,0.729
2621,0.44653125,2.077
2625,1.078625,3.472
2626,0.09810416666666667,2.214
2627,0.6892916666666666,
2629,0.24836458333333333,1.183
2634,0.5580208333333334,4.128
2635,0.07683333333333332,1.639
2636,0.13444791666666667,
2639,0.11545833333333333,1.908
2641,0.25609375,1.231
2642,0.7341770833333333,5.735
2644,0.05792708333333333,
2646,0.39440625,5.689
2648,0.3496145833333333,1.744
2649,0.1836354166666667,
2650,0.4663854166666667,2.264
2653,0.058708333333333335,1.488
2654,0.29878125,1.507
2655TH,0.021166666666666667,1.061
2660,0.06435416666666667,0.318
2661,-0.014177083333333333,1.757
2662,0.13570833333333335,1.289
2667,0.27564583333333337,
2669,0.17184375,1.009
2670,-0.0010416666666666667,4.5
2671,0.25657291666666665,1.09
2694TH,0.9872187499999999,2.038
2698TH,0.15315625,1.259
2700TH,3.2525520833333332,5.724
2702TH,0.14866666666666667,1.313
2703TH,0.19339583333333332,1.941
2705,0.006635416666666667,0.59
2706,0.34120833333333334,
2711,0.33961458333333333,3.602
2802TH,0.18980208333333334,1.12
2803TH,0.23252083333333332,1.062
2804TH,0.3843125,2.537
2805TH,0.13394791666666667,
2807TH,0.16888541666666668,1.514
2808TH,0.3956458333333333,1.539
2809TH,0.23506249999999998,1.799
2810TH,0.257,2.17
2813TH,0.00246875,0.62
2814TH,1.0941458333333334,2.578
2815TH,0.2177916666666667,0.388
2816TH,0.10709375,0.497
2819TH,0.29103124999999996,0.454
2821TH,0.86403125,2.028
2830,0.9827916666666666,3.64
2830TH,0.26539583333333333,1.585
2831,0.9338541666666668,
2831A,0.9530520833333332,
2832,0.24972916666666667,1.709
2841TH,0.35609374999999993,0.68
2844TH,0.8342604166666666,1.713
2846TH,0.4741875,0.974
2849TH,0.1534375,0.322
2852TH,0.46356250000000004,0.678
2854TH,0.21347916666666666,
2859TH,0.17205208333333333,0.301
2862TH,7.529333333333334,
2866TH,20.096114583333335,
2870TH,0.25204166666666666,0.608
2872,0.4518020833333334,4.637
2873TH,0.2609166666666667,0.459
2879_w1TH,0.12240625,0.277
2879_w2TH,0.07952083333333333,
2880TH,0.99571875,1.287
2881TH,0.6273541666666667,2.108
2882TH,0.4865625,1.177
2883TH,0.5020833333333333,
2884,0.08204166666666667,
2885TH,0.4814583333333333,0.643
2886TH,0.16782291666666668,0.977
2887TH,0.5779791666666666,1.842
2888TH,0.7420416666666667,1.993
2889TH,0.0610625,1.261
2890TH,0.7412916666666667,2.418
2891TH,0.8126145833333333,1.2
2892TH,1.6565625,1.766
2893TH,0.7074479166666666,0.818
2894TH,0.5906979166666666,3.324
2895TH,0.14616666666666667,0.82
2896TH,0.15420833333333334,0.847
2897BTH,-18.509541666666667,
2898,0.11135416666666666,
2898TH,1.2721666666666667,1.514
2900,0.27820833333333334,
2900TH,2.7132083333333337,4.955
2901TH,0.14747916666666666,1.401
2902TH,0.21091666666666667,1.316
2904TH,0.18227083333333335,1.121
2915,2.0633854166666667,
2927TH,0.7875520833333334,1.922
2928TH,0.535,2.165
2935TH,0.43784375000000003,1.68
2936TH,0.4670208333333334,1.505
2937TH,0.9749687499999999,2.327
2941TH,0.5304479166666667,1.117
2966TH,0.92009375,1.772
2976TH,0.35262499999999997,1.422
2989TH,0.3658333333333333,0.949
3010TH,0.15346875000000001,0.436
3012TH,0.13535416666666666,0.397
3015TH,0.057375,1.108
3020TH,0.18798958333333335,1.098
3028TH,0.9494583333333333,1.714
3029TH,0.7008854166666666,
3040TH,0.22509375,2.067
3054TH,1.9327916666666667,2.355
3056TH,0.6359479166666667,
3057TH,4.317333333333333,
3061TH,1.0370520833333334,3.787
3065TH,1.42603125,3.378
3069TH,2.2205208333333335,3.994
3073TH,0.8652291666666666,2.051
3074TH,0.07767708333333333,0.339
3075TH,0.828,1.761
3078TH,0.7534166666666667,
3079TH,0.13069791666666666,1.158
3080TH,1.2737604166666665,3.721
3085TH,2.0696458333333334,1.469
3087TH,0.4472291666666666,2.08
3089TH,0.4785625,4.038
3090TH,0.9961875,1.871
3100TH,3.2811458333333334,4.398
3101SE,0.7139791666666667,1.455
3101TH,0.15789583333333332,0.916
3102TH,0.17202083333333332,1.029
3110TH,0.08157291666666668,0.266
3115TH,0.5071041666666667,1.158
3207TH,0.7892291666666668,2.513
3209TH,0.6458541666666667,2.547
3210TH,0.25861458333333337,2.54
3219TH,0.19977083333333334,
3223TH,0.7208645833333334,2.955
3225TH,0.5050208333333334,3.094
3229TH,0.12569791666666666,2.173
3230TH,0.38653125,3.444
3232TH,1.07834375,2.901
3235TH,1.7468854166666665,4.465
